Chr	WT O1	WT O2	MUT O1	MUT O2	WT Term Ratio	MUT Term Ratio	Corr Coeff	Euclidean Dist	FirstDer Corr	FirstDer Dist	SecDer Corr	SecDer Dist
4	1056365	1162102	1056468	1161848	0.301228519818	0.424435376732	0.981510120949	258.466883317	0.956634124614	20.1893313803	0.863952881969	0.298000780231
4	1162102	1241921	1161848	1242133	0.806299252058	0.793498162795	0.993824103014	226.544219558	0.962596369536	18.0872306462	0.82995652679	0.294488875524
4	1241921	1303835	1242133	1304721	0.460574345059	0.232648431009	0.990623671479	85.6336825038	0.980125842311	13.3577498393	0.939389291948	0.242138645554
4	1303835	1353178	1304721	1352540	0.416512980565	0.467345615759	0.995267456249	150.889636554	0.986026998731	15.5313074144	0.919600601405	0.266434211637
4	1353178	1400540	1352540	1400877	0.741828892361	0.735709704781	0.929774114561	79.3762290852	0.963579391496	15.0939970263	0.932436929532	0.264235446219
4	1400540	1460776	1400877	1460499	0.364200810147	0.365653617792	0.996353255376	173.599718985	0.983302450745	17.642397838	0.921929180556	0.349564922341
4	1460776	1500803	1460499	1499540	0.880955355135	0.840270484875	0.964782238877	67.2249285734	0.916813006757	17.7871469663	0.790314771067	0.466455386921
5	59377	94047	59297	93977	0.467378136718	0.401023644752	0.938549049018	283.713674678	0.876130301035	63.2299203044	0.891757246811	0.954049401904
5	94047	145536	93977	145556	0.519994561945	0.546559646368	0.97717642851	310.447934285	0.93417905139	51.4745077437	0.900764852332	0.960374345843
5	145536	173726	145556	173490	0.467328840014	0.42632634066	0.992079130081	98.7633988256	0.967846966216	30.043570217	0.90285082722	0.666106336
5	173726	211421	173490	211925	0.886908077994	0.892597892546	0.897019731355	141.858578765	0.851566521981	44.4260896268	0.84198522128	0.899070896607
5	211421	287901	211925	288463	0.411767782427	0.581789437926	0.952441306781	236.067512191	0.841669434998	50.2111751653	0.875229599909	1.32674223292
5	287901	316518	288463	316684	0.44246426949	0.13865561107	0.824663668948	164.651054307	0.89435318223	34.1742382048	0.915746201772	0.695693288817
5	316518	353774	316684	353789	0.480298475413	0.487643174774	0.992923547788	153.531294868	0.953337608825	35.1947728444	0.909551702224	0.748026022654
5	353774	407130	353789	406782	0.59481595322	0.598362047818	0.992628895887	200.74579013	0.943398637322	39.5243677461	0.900422814549	0.920214973211
5	407130	438787	406782	438847	0.388855545377	0.815063152971	0.733929944378	422.035118078	0.83324451829	53.4216281158	0.885485660663	0.88693234265
5	438787	492030	438847	493583	0.553913190466	0.557092224496	0.502998534128	1244.48475002	-0.00961842458257	574.860714862	-0.00690923386625	32.0575667433
6	31210	69351	31609	68582	0.15112346294	0.0847645579206	0.853118787228	89.7810003314	0.903262633677	54.4329952089	0.86488405841	2.69288187317
6	69351	118717	68582	118626	0.124052991938	0.361511869555	0.738055084885	422.144974294	0.86602448089	83.2055157544	0.805325602717	3.65213351987
6	118717	135796	118626	135698	0.616488084782	0.604967197751	0.973763595194	45.2275333631	0.911957446591	42.1862557687	0.865574165966	1.50791057036
6	135796	167728	135698	167704	0.407647500939	0.671811535337	0.543129850276	1349.78119932	-0.202378568475	770.717711674	-0.16385918996	69.6964676512
6	167728	199576	167704	199677	0.477643808088	0.423232102086	0.974160592812	153.377138733	0.828178741882	99.6446828499	0.775078230803	3.44252461781
7	64461	117118	64157	118504	0.635490058302	0.665952122472	0.977228933945	103.808588829	0.953250318095	17.8314280051	0.932902689224	0.301990062083
7	117118	165233	118504	163760	0.130770030136	0.059704790525	0.802034206964	144.929875763	0.959219744005	17.5800129727	0.784056828261	0.496112909382
7	165233	203771	163760	204024	0.281618143131	0.484899662229	0.884372763473	203.758203636	0.932836759986	25.2283513084	0.808995954472	0.615446090311
7	203771	286286	204024	286746	0.560104223475	0.484429776843	0.993561888623	236.527715635	0.969094223222	25.4809823769	0.902342034929	0.43995132896
7	286286	389349	286746	389312	0.468558066425	0.306958446269	0.977399992149	331.687167028	0.961174405896	33.9694751241	0.893508733507	0.566819591306
7	389349	421184	389312	421367	0.426888644574	0.443581344564	0.994715295709	59.1768182253	0.981272163335	18.687694359	0.926138430112	0.443285015722
7	421184	485117	421367	485087	0.480487385231	0.322457627119	0.902470339512	441.439137158	0.865983086833	52.7424546393	0.881556028838	0.63228668728
7	485117	508280	485087	508109	0.581617234382	0.593084875337	0.99760397735	56.4360184931	0.988145093363	19.3909950524	0.899052853133	0.602434950709
7	508280	572817	508109	572502	0.453243875606	0.529731492554	0.980516800998	244.076042115	0.960313336485	29.2519659165	0.901227833546	0.468847166103
7	572817	659246	572502	659665	0.624535746104	0.681309730046	0.976125875862	194.267475419	0.950417144345	27.2762078246	0.885976856158	0.381258150096
7	659246	714433	659665	715091	0.475057531665	0.650795655469	0.900764634743	265.305235761	0.901483135467	30.8534646773	0.920842818922	0.364676112895
7	714433	777946	715091	777644	0.268559192606	0.27405560085	0.988101749729	238.866632622	0.947352196818	37.512474524	0.766439150823	1.54538723613
7	777946	834680	777644	834755	0.349173335213	0.329393636953	0.979792415851	220.293182766	0.942572558698	39.0587431494	0.854468777808	0.621717511134
7	834680	888123	834755	888079	0.489156671594	0.477833620884	0.9872780119	255.672766046	0.928121920631	42.0655068699	0.72171235813	0.776184065166
7	888123	978297	888079	978553	0.701111185042	0.595497048876	0.973492995664	298.632991744	0.938294743076	30.7060242051	0.839745820481	0.488445585997
7	978297	998848	978553	999180	0.458469174249	0.447714161051	0.989033436245	18.9171775778	0.961702969425	8.59758198097	0.911646689385	0.273789021358
8	63919	115782	62997	115082	0.496394346644	0.424172026495	0.173322809531	1582.91697896	0.129674073577	567.027146024	0.0445174338579	39.4507476148
8	115782	133279	115082	133246	0.485854717952	0.600473463995	0.87750999409	106.093450634	0.928994652097	38.7802027577	0.819533030974	0.996213524716
8	133279	167633	133246	167889	0.839378238342	0.588401697313	0.927357471818	292.260107006	0.901341927003	41.1579819043	0.833490012433	0.924208536293
8	167633	246456	167889	246598	0.549877573805	0.548437916884	0.950609282279	194.994775757	0.846335384753	60.1020403487	0.733118607371	1.74709326861
8	246456	297041	246598	297112	0.22482949491	0.208001742091	0.993563057364	133.364987033	0.950535743783	33.1763137449	0.884598886951	1.04128540928
8	297041	359798	297112	359749	0.741797727744	0.841986365886	0.983272738446	228.86898289	0.948067616117	36.9142149051	0.915290353924	0.981402615716
8	359798	392010	359749	392694	0.443561405687	0.614251024435	0.906118258668	85.3349110521	0.891359849958	33.6246379689	0.848583323505	0.929116446235
8	392010	447694	392694	447715	0.352453128367	0.297395539885	0.985627816279	158.803091926	0.949634511946	32.7499773184	0.910469150867	0.928533518721
8	447694	501984	447715	502240	0.750856511328	0.618615314076	0.944351379582	264.336106428	0.940192122973	36.1635577724	0.86086474588	1.00566667373
8	501984	518743	502240	519046	0.70129482666	0.658098298227	0.990643561248	36.0818388966	0.979587408375	10.4473587666	0.950095084275	0.374634923
9	33684	74226	34687	74101	0.149030634897	0.075658395494	0.88673015289	173.081219203	0.933734516597	37.125836859	0.827865969213	1.23614439266
9	74226	106039	74101	106199	0.345770596926	0.214296840925	0.954584517963	87.9427350828	0.926347191012	40.2142200128	0.900253792982	1.25009980428
9	106039	135204	106199	135255	0.80881193211	0.76252753304	0.990227627248	103.409003075	0.956162894354	25.8911575246	0.849232342565	1.05637109155
