Chr	WT O1	WT O2	MUT O1	MUT O2	WT Term Ratio	MUT Term Ratio	Corr Coeff	Euclidean Dist	FirstDer Corr	FirstDer Dist	SecDer Corr	SecDer Dist
2	704903	741888	705200	741567	0.804542382047	0.835345230566	0.989604123466	55.7259613762	0.977761682546	13.6520816068	0.976046311004	8.12773070757
3	39589	74291	39521	74217	0.514696559276	0.50553377911	0.996320419584	144.448193639	0.940057127811	53.9276008111	0.901813181882	84.786294181
3	74291	109344	74217	109549	0.32562120218	0.382938978829	0.405923013563	1114.17988455	-0.224886123177	655.390810948	-0.145938401511	1019.34840867
3	109344	132215	109549	132560	0.696908749071	0.70227282604	0.961644817501	91.1901452235	0.859763628601	52.9622651998	0.814879955785	78.0512567909
3	132215	166907	132560	166789	0.487720511934	0.433258348184	0.880380966065	308.131331234	0.297807860021	285.940005614	0.165576266436	792.902909441
3	166907	225035	166789	225090	0.349022846133	0.442508133079	0.973663959721	202.794622567	0.850441926432	87.604828709	0.829969024406	116.443022996
3	225035	272661	225090	272926	0.874522319741	0.816100844552	0.986905663034	193.05819511	0.939854815656	44.5828973693	0.935469783283	64.8087375287
4	47597	125254	46901	124271	0.370320769538	0.52985653354	0.977833350062	185.538225978	0.96404411219	17.0513176502	0.974909230552	6.71297027613
4	125254	215514	124271	215320	0.539253268336	0.492613867258	0.986334618228	188.791939307	0.967641651733	19.914581885	0.965442775707	8.28239281304
4	215514	231113	215320	232455	0.506635040708	0.353195214473	0.982769719791	49.7977825592	0.964019406154	8.17387511415	0.973075111589	6.23069641298
4	231113	328569	232455	329184	0.463183385323	0.469300830154	0.992858639716	350.880154932	0.964544390101	26.9358467105	0.937292420022	11.8620327613
4	328569	410488	329184	409659	0.52410307743	0.480012426219	0.97727399735	318.174208601	0.948311808457	27.4713247963	0.94710167418	11.6200907826
4	410488	436495	409659	436261	0.301764909447	0.333959852643	0.981673532994	103.627634811	0.992258883871	18.9628145474	0.977753703877	9.39729684821
4	436495	461624	436261	461930	0.478968522424	0.356227355955	0.98961004113	46.1528014928	0.975744423769	8.83905261453	0.974105655404	7.41014148969
4	461624	503388	461930	504397	0.77588353606	0.645607177338	0.924964561953	152.555209393	0.943575535033	18.0780485516	0.967020371655	7.49935292253
4	503388	555675	504397	555167	0.449365999197	0.455318101241	0.964574732357	161.679316623	0.945925584728	23.7554334325	0.962627891785	9.72809838148
4	555675	631066	555167	631703	0.800108766298	0.778117487196	0.959071295484	309.263083305	0.922073281959	21.5721814302	0.949289571823	8.74710792824
4	631066	703357	631703	703242	0.526123583849	0.464306182642	0.930607507589	165.181160187	0.933310023337	18.4354575374	0.954689099739	6.61075183982
4	703357	750119	703242	750377	0.598434626406	0.620409462183	0.986770864936	78.2557079466	0.960772199782	14.7613911774	0.976317295442	7.06380036699
4	750119	807692	750377	808247	0.530352769527	0.556333160532	0.990849669468	136.923367976	0.95152776395	18.4074265356	0.958658993901	7.26923121007
4	807692	914592	808247	915087	0.181824134705	0.46842006739	0.920687805239	251.423756266	0.945957794988	24.6647500426	0.950534871819	10.6740477692
4	914592	1018140	915087	1019818	0.522801019817	0.531008011	0.981043464796	272.748877163	0.939515270158	30.7551496815	0.958331868692	12.3960365725
4	1018140	1056365	1019818	1056468	0.711288423806	0.561473396999	0.905770760726	232.367854919	0.938908475455	18.0113459124	0.952983715081	9.62148976759
4	1056365	1162102	1056468	1161848	0.301228519818	0.424435376732	0.981510120949	258.466883317	0.955794331512	20.0449754573	0.960024311834	7.13882155297
4	1162102	1241921	1161848	1242133	0.806299252058	0.793498162795	0.993824103014	226.544219558	0.961808860633	17.8793531376	0.955341428269	7.46059966364
4	1241921	1303835	1242133	1304721	0.460574345059	0.232648431009	0.990623671479	85.6336825038	0.979732026116	13.1209545968	0.977513149058	6.47791607753
4	1303835	1353178	1304721	1352540	0.416512980565	0.467345615759	0.995267456249	150.889636554	0.985513957256	15.2855328517	0.981660306859	7.24240788683
4	1353178	1400540	1352540	1400877	0.741828892361	0.735709704781	0.929774114561	79.3762290852	0.962533226406	14.9358112471	0.972188899411	6.25242967076
4	1400540	1460776	1400877	1460499	0.364200810147	0.365653617792	0.996353255376	173.599718985	0.983378445071	17.4768451081	0.972594398339	8.49260895012
4	1460776	1500803	1460499	1499540	0.880955355135	0.840270484875	0.964782238877	67.2249285734	0.915288331513	17.5268253068	0.883115208039	9.96718147656
5	59377	94047	59297	93977	0.467378136718	0.401023644752	0.938549049018	283.713674678	0.858787089862	62.7348376728	0.945564397797	31.715042115
5	94047	145536	93977	145556	0.519994561945	0.546559646368	0.97717642851	310.447934285	0.927609988023	50.9354353541	0.955109313984	30.5696560757
5	145536	173726	145556	173490	0.467328840014	0.42632634066	0.992079130081	98.7633988256	0.964097866141	29.7252741641	0.967115193224	21.1075734792
5	173726	211421	173490	211925	0.886908077994	0.892597892546	0.897019731355	141.858578765	0.832315502349	44.1126876013	0.918863976575	27.4682746489
5	211421	287901	211925	288463	0.411767782427	0.581789437926	0.952441306781	236.067512191	0.837129350156	48.9511227266	0.862674463813	43.0081774838
5	287901	316518	288463	316684	0.44246426949	0.13865561107	0.824663668948	164.651054307	0.883524124027	32.8000014609	0.926733956361	25.6519366756
5	316518	353774	316684	353789	0.480298475413	0.487643174774	0.992923547788	153.531294868	0.945632990577	34.0357648089	0.955120871863	25.2882891141
5	353774	407130	353789	406782	0.59481595322	0.598362047818	0.992628895887	200.74579013	0.93738404197	38.7157653056	0.949746344368	29.3687463274
5	407130	438787	406782	438847	0.388855545377	0.815063152971	0.733929944378	422.035118078	0.801486714004	53.0736879616	0.9495366864	27.0276490655
5	438787	492030	438847	493583	0.553913190466	0.557092224496	0.502998534128	1244.48475002	-0.0275689937257	544.764155258	0.0197012326041	717.396983956
6	31210	69351	31609	68582	0.15112346294	0.0847645579206	0.853118787228	89.7810003314	0.896942996306	50.8231262386	0.875990983873	88.8033173757
6	69351	118717	68582	118626	0.124052991938	0.361511869555	0.738055084885	422.144974294	0.855733375092	79.6639414872	0.843608785305	121.227935905
6	118717	135796	118626	135698	0.616488084782	0.604967197751	0.973763595194	45.2275333631	0.879464723258	40.9173925034	0.902660108975	57.3130235857
6	135796	167728	135698	167704	0.407647500939	0.671811535337	0.543129850276	1349.78119932	-0.278335571503	678.613314436	-0.225735715857	1152.85506112
6	167728	199576	167704	199677	0.477643808088	0.423232102086	0.974160592812	153.377138733	0.811737600199	96.1714585023	0.781985717308	134.790902308
7	64461	117118	64157	118504	0.635490058302	0.665952122472	0.977228933945	103.808588829	0.950231849923	17.7446330868	0.978477305738	7.17936968746
7	117118	165233	118504	163760	0.130770030136	0.059704790525	0.802034206964	144.929875763	0.959080932847	17.3298952204	0.937860906104	10.3792294428
7	165233	203771	163760	204024	0.281618143131	0.484899662229	0.884372763473	203.758203636	0.927141660404	24.6321076601	0.947049456974	16.6853184678
7	203771	286286	204024	286746	0.560104223475	0.484429776843	0.993561888623	236.527715635	0.967505229334	24.6614499046	0.969475437835	15.2282895277
7	286286	389349	286746	389312	0.468558066425	0.306958446269	0.977399992149	331.687167028	0.959734994262	33.4649816178	0.960648905211	16.3339131784
7	389349	421184	389312	421367	0.426888644574	0.443581344564	0.994715295709	59.1768182253	0.980657580306	18.2703130096	0.983129423685	11.4740233414
7	421184	485117	421367	485087	0.480487385231	0.322457627119	0.902470339512	441.439137158	0.855028123963	52.4558191311	0.969990374268	16.694836074
7	485117	508280	485087	508109	0.581617234382	0.593084875337	0.99760397735	56.4360184931	0.987728301029	18.6343571232	0.972909127819	14.4219888685
7	508280	572817	508109	572502	0.453243875606	0.529731492554	0.980516800998	244.076042115	0.958739256979	28.8101457936	0.963660383563	13.8475716111
7	572817	659246	572502	659665	0.624535746104	0.681309730046	0.976125875862	194.267475419	0.948985278202	26.9766618088	0.953707018877	11.4533184607
7	659246	714433	659665	715091	0.475057531665	0.650795655469	0.900764634743	265.305235761	0.895524434039	30.7036078386	0.971714710979	9.60604321786
7	714433	777946	715091	777644	0.268559192606	0.27405560085	0.988101749729	238.866632622	0.947446648713	36.4253094124	0.867707403894	34.0495675915
7	777946	834680	777644	834755	0.349173335213	0.329393636953	0.979792415851	220.293182766	0.939001240263	38.4814316852	0.964012091897	17.7972277706
7	834680	888123	834755	888079	0.489156671594	0.477833620884	0.9872780119	255.672766046	0.923953680338	41.5111313397	0.939767151026	20.1181508581
7	888123	978297	888079	978553	0.701111185042	0.595497048876	0.973492995664	298.632991744	0.935828182967	30.2536999936	0.947976156636	14.8878485073
7	978297	998848	978553	999180	0.458469174249	0.447714161051	0.989033436245	18.9171775778	0.958862626944	8.43186398339	0.966628407887	6.29973721814
8	63919	115782	62997	115082	0.496394346644	0.424172026495	0.173322809531	1582.91697896	0.135186763596	532.422136071	0.0741152779189	769.2146028
8	115782	133279	115082	133246	0.485854717952	0.600473463995	0.87750999409	106.093450634	0.921000731994	36.6301815421	0.893099426058	34.6416358475
8	133279	167633	133246	167889	0.839378238342	0.588401697313	0.927357471818	292.260107006	0.893733153678	39.8915440461	0.926744668111	29.2246185928
8	167633	246456	167889	246598	0.549877573805	0.548437916884	0.950609282279	194.994775757	0.837438409662	59.3815151196	0.843203209372	52.2235325153
8	246456	297041	246598	297112	0.22482949491	0.208001742091	0.993563057364	133.364987033	0.942901528889	32.4999639498	0.93934426513	31.5971349833
8	297041	359798	297112	359749	0.741797727744	0.841986365886	0.983272738446	228.86898289	0.942046048407	35.7443606501	0.947773196135	32.7304618915
8	359798	392010	359749	392694	0.443561405687	0.614251024435	0.906118258668	85.3349110521	0.882538122071	32.6451100173	0.902902335965	29.3176127847
8	392010	447694	392694	447715	0.352453128367	0.297395539885	0.985627816279	158.803091926	0.942308645333	32.2763457273	0.957672080327	27.7470951892
8	447694	501984	447715	502240	0.750856511328	0.618615314076	0.944351379582	264.336106428	0.931558478743	35.7090377609	0.940675566807	29.7725119543
8	501984	518743	502240	519046	0.70129482666	0.658098298227	0.990643561248	36.0818388966	0.975251318186	10.2295171219	0.971093232552	11.0465108834
9	33684	74226	34687	74101	0.149030634897	0.075658395494	0.88673015289	173.081219203	0.928742774051	36.4273875775	0.917132584692	38.5493716091
9	74226	106039	74101	106199	0.345770596926	0.214296840925	0.954584517963	87.9427350828	0.912093153397	39.4297261291	0.933908664574	41.4961346553
9	106039	135204	106199	135255	0.80881193211	0.76252753304	0.990227627248	103.409003075	0.948316284898	25.0273649904	0.928558105192	31.8111732284
9	135204	175292	135255	174380	0.426062662143	0.633757188498	0.967323713448	211.509973819	0.933569259572	32.7999903723	0.918930517352	41.7134283776
9	175292	214941	174380	214881	0.192463870463	0.250462951532	0.906132156951	296.324413805	0.827109316065	68.554938739	0.838497296985	72.5407536606
9	214941	247232	214881	247165	0.758787278189	0.954466608846	0.927820917926	152.336704265	0.778177219137	52.8422109133	0.859413439185	42.4905482535
9	247232	311422	247165	310813	0.555771927091	0.581149446958	0.986775104091	244.741614625	0.915258416204	49.9802506615	0.894340484224	57.8378158474
9	311422	342741	310813	343025	0.234234809541	0.406121942133	0.923289420267	182.915390696	0.905734506976	39.9302063855	0.907253264172	38.5573761701
9	342741	356703	343025	356222	0.387981664518	0.134879139198	0.905121162476	38.9833287631	0.937661358282	14.7820026209	0.957762332906	13.1680828852
10	68284	99343	68656	99380	0.426382047072	0.395423772946	0.988584550405	66.7828960242	0.980297741037	15.2221287589	0.987521876786	9.56336722102
10	99343	161993	99380	162020	0.557829209896	0.392975734355	0.901954687822	322.987210417	0.89542339099	43.8655982052	0.953960035423	21.9412015305
10	161993	204324	162020	204933	0.28560629326	0.399436068324	0.904102931317	256.457531103	0.917742056118	36.7511552774	0.966208992122	17.8112879491
10	204324	227424	204933	228307	0.748398268398	0.659450671686	0.984079903403	132.948523124	0.982881347943	15.0227088568	0.980116726991	12.7864459386
10	227424	299273	228307	299315	0.711311222146	0.647497465074	0.959148832993	307.754203553	0.963976651733	25.0534272827	0.966015271769	21.0493563102
10	299273	374983	299315	374880	0.225729758288	0.468051787644	0.950121166947	319.138635316	0.924964383771	40.9196124967	0.938800204988	28.4562004845
10	374983	417290	374880	417323	0.452501950032	0.467332657918	0.986360416181	268.982726509	0.925477013291	47.0287146217	0.95243239914	26.2612872703
