"Chr"	"WT.O1"	"WT.O2"	"MUT.O1"	"MUT.O2"	"WT.Term.Ratio"	"MUT.Term.Ratio"	"Corr.Coeff"	"Euclidean.Dist"	"FirstDer.Corr"	"FirstDer.Dist"	"SecDer.Corr"	"SecDer.Dist"
4	703357	750119	703242	750377	0.598434626406	0.620409462183	0.986770864936	78.2457320403	0.961031174223	14.8298951398	0.94972342111	0.217530016954
4	750119	807692	750377	808247	0.530352769527	0.556333160532	0.990849669468	136.831619474	0.95083284407	18.5543555801	0.878589146434	0.238988927461
4	1162102	1241921	1161848	1242133	0.806299252058	0.793498162795	0.993824103014	226.541908949	0.962277992128	18.0361008562	0.829956526482	0.294488875524
4	1241921	1303835	1242133	1304721	0.460574345059	0.232648431009	0.990623671479	84.7410777618	0.978711138563	13.0328600823	0.938754020399	0.241660158158
4	1303835	1353178	1304721	1352540	0.416512980565	0.467345615759	0.995267456249	150.641426075	0.984936314955	15.2635448973	0.919600601278	0.266434211637
4	1353178	1400540	1352540	1400877	0.741828892361	0.735709704781	0.929774114561	79.3710129148	0.963463811235	15.0900594437	0.929795216924	0.262892403388
4	1400540	1460776	1400877	1460499	0.364200810147	0.365653617792	0.996353255376	173.586778952	0.983025732225	17.5625078124	0.92192917958	0.349564922341
4	1460776	1500803	1460499	1499540	0.880955355135	0.840270484875	0.964782238877	66.6442106073	0.92369105009	17.5017805058	0.788909932636	0.464505389408
5	145536	173726	145556	173490	0.467328840014	0.42632634066	0.992079130081	98.6112616946	0.966040256762	29.9624427219	0.90195422416	0.666096561584
5	173726	211421	173490	211925	0.886908077994	0.892597892546	0.897019731355	141.627989769	0.846396959473	44.4019213406	0.84094186989	0.899058135321
5	287901	316518	288463	316684	0.44246426949	0.13865561107	0.824663668948	164.627560188	0.888539689684	34.023258318	0.915746075823	0.695693776197
5	316518	353774	316684	353789	0.480298475413	0.487643174774	0.992923547788	153.531261797	0.953035446703	35.1549047609	0.90955170217	0.748026022654
5	353774	407130	353789	406782	0.59481595322	0.598362047818	0.992628895887	200.458770902	0.939084702076	39.5234637533	0.900509356858	0.919103686848
6	31210	69351	31609	68582	0.15112346294	0.0847645579206	0.853118787228	84.9864760537	0.889639350429	54.0584352386	0.859130804213	2.64055554056
