"Chr"	"WT.O1"	"WT.O2"	"MUT.O1"	"MUT.O2"	"WT.Term.Ratio"	"MUT.Term.Ratio"	"Corr.Coeff"	"Euclidean.Dist"	"FirstDer.Corr"	"FirstDer.Dist"	"SecDer.Corr"	"SecDer.Dist"
9	214941	247232	214881	247165	0.758787278189	0.954466608846	0.927820917926	152.335922388	0.812115095619	53.5519221218	0.79321157173	1.16225449182
14	169880	195488	169628	195140	0.549086223055	0.602971150831	0.984260673934	41.7047227053	0.950778842934	16.7856507065	0.910611040381	0.439606829066
7	978297	998848	978553	999180	0.458469174249	0.447714161051	0.989033436245	18.7333378458	0.95926787392	8.55813555285	0.912248548342	0.271988449129
16	73005	163399	72828	163365	0.751178175543	0.610269834432	0.976167873546	193.602273049	0.970230341154	28.0700678529	0.925406075185	0.573903365125
16	289406	385064	289208	385022	0.625635074955	0.454343832843	0.976737417795	248.237064372	0.953221373028	29.9499497467	0.910501367146	0.541290187321
13	470750	505201	469429	506058	0.277524600157	0.225695487182	0.632245830883	81.2432324497	0.811098716646	23.3509526895	0.824986200561	0.435153276968
14	195488	250804	195140	251325	0.444102972015	0.400195781792	0.972096150296	98.4976616138	0.913514976431	24.4637422608	0.88971810709	0.474141945248
15	658455	680022	658609	680795	0.631056707006	0.234021454972	0.866570778632	72.6327943477	0.927809267308	8.01949189587	0.967062236812	0.141991374944
14	609997	634761	609909	635287	0.638063317719	0.793206714477	0.845486697281	165.564996253	0.852564948831	36.6204571561	0.888108472547	0.586850571478
15	463890	489456	464241	488464	0.605452554174	0.735540601907	0.989111160023	112.34684934	0.975941828164	17.1999266409	0.942634741586	0.319428885688
16	385064	418356	385022	418772	0.322089390845	0.331407407407	0.949800165028	133.521081415	0.953817256787	25.8466610238	0.961222960141	0.291198172986
11	197290	213328	196547	213015	0.368624516773	0.408974981783	0.983661488893	59.548330525	0.967130222658	20.706324344	0.925130534493	0.491350130932
6	118717	135796	118626	135698	0.616488084782	0.604967197751	0.973763595194	45.1712247843	0.907126894987	42.1569382651	0.865574166675	1.50791057036
9	311422	342741	310813	343025	0.234234809541	0.406121942133	0.923289420267	182.879970312	0.90951780732	40.5661092476	0.847023461619	1.28089296376
